"","s/no","name_of_hawker_centre","original_address","manager","address","latitude","longitude"
"42","42","Blk 511 Bedok North Street 3","Blk 511, Bedok North Street 3, S(460511)","Aljunied - Hougang Town Council","511 Bedok North Street 3","1.33321993297265","103.930581522776"
"43","43","Blk 538 Bedok North Street 3","Blk 538, Bedok North Street 3, S(460538)","Aljunied - Hougang Town Council","538 Bedok North Street 3","1.3320672771228","103.924621314971"
"44","44","Blk 85 Bedok North Street 4","Blk 85, Bedok North Street 4, S(460085)","East Coast Town Council","85 Bedok North Street 4","1.33200482399436","103.93876843919"
"45","45","Blk 630 Bedok Reservoir Road","Blk 630, Bedok Reservoir Road, S(470630)","Aljunied - Hougang Town Council","630 Bedok Reservoir Road","1.33277279217212","103.914190840298"
"46","46","Blk 16 Bedok South Road","Blk 16, Bedok South Road, S(460016)","East Coast Town Council","16 Bedok South Road","1.32050083785242","103.935473637292"
"47","47","Blk 29 Bendemeer Road","Blk 29, Bendemeer Road, S(330029)","Jalan Besar Town Council","29 Bendemeer Road","1.31921667890113","103.863020922593"
"48","48","Blks 221A/B Boon Lay Place","Blks 221A/B, Boon Lay Place, S(641221/642221)","West Coast Town Council","221B Boon Lay Place","1.34576075706899","103.713083742931"
"49","49","Blk 163 Bukit Merah Central","Blk 163, Bukit Merah Central, S(150163)","Tanjong Pagar Town Council","163 Bukit Merah Central","1.28370220959751","103.816949612508"
"50","50","Blk 115 Bukit Merah View","Blk 115, Bukit Merah View, S(151115)","Tanjong Pagar Town Council","115 Bukit Merah View","1.28550445567433","103.821823256087"
"51","51","Blks 2 & 3 Changi Village Road","Blks 2/3, Changi Village Road, S(500002/500003)","East Coast Town Council","3 Changi Village Road","1.38965834308064","103.988091826679"
"52","52","Chinatown Market","Blk 335, Smith Street, S(050335)","Jalan Besar Town Council","335 Smith Street","1.28223521144332","103.843177640795"
"53","53","Chong Pang Market & Food Centre #","Blks 104/105, Yishun Ring Road, S(760104/760105)","Nee Soon Town Council","105 Yishun Ring Road","1.43171836662838","103.828114256975"
"54","54","Blks 79/79A Circuit Road","Blks 79/79A, Circuit Road, S(370079/371079)","Marine Parade Town Council","79A Circuit Road","1.32550687436813","103.88491977038"
"55","55","Blk 80 Circuit Road","Blk 80, Circuit Road, S(370080)","Marine Parade Town Council","80 Circuit Road","1.32783414615937","103.887102669236"
"56","56","Blk 89 Circuit Road","Blk 89, Circuit Road, S(370089)","Marine Parade Town Council","89 Circuit Road","1.32357971400582","103.885438842474"
